Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
2.027350e-01  11.615858  2.049910e-01  1.367310e-01  -8.641330
2.043065e-01  11.705903  2.064830e-01  1.387286e-01  -8.578340
2.058781e-01  11.795948  2.079727e-01  1.407375e-01  -8.515901
2.074497e-01  11.885993  2.094600e-01  1.427576e-01  -8.454007
2.090213e-01  11.976038  2.109448e-01  1.447888e-01  -8.392650
2.105929e-01  12.066083  2.124272e-01  1.468310e-01  -8.331823
2.121645e-01  12.156128  2.139072e-01  1.488840e-01  -8.271518
2.137360e-01  12.246173  2.153847e-01  1.509479e-01  -8.211730
2.153076e-01  12.336218  2.168597e-01  1.530224e-01  -8.152450
2.168792e-01  12.426262  2.183322e-01  1.551075e-01  -8.093672
2.184508e-01  12.516307  2.198021e-01  1.572031e-01  -8.035390
2.200224e-01  12.606352  2.212695e-01  1.593090e-01  -7.977597
2.215939e-01  12.696397  2.227343e-01  1.614252e-01  -7.920287
2.231655e-01  12.786442  2.241964e-01  1.635515e-01  -7.863454
2.247371e-01  12.876487  2.256559e-01  1.656879e-01  -7.807092
2.263087e-01  12.966532  2.271128e-01  1.678342e-01  -7.751196
2.278803e-01  13.056577  2.285670e-01  1.699903e-01  -7.695759
2.294518e-01  13.146622  2.300184e-01  1.721561e-01  -7.640776
2.310234e-01  13.236667  2.314671e-01  1.743315e-01  -7.586241
2.325950e-01  13.326712  2.329131e-01  1.765164e-01  -7.532149
2.341666e-01  13.416757  2.343563e-01  1.787107e-01  -7.478495
2.357382e-01  13.506802  2.357967e-01  1.809142e-01  -7.425275
2.373097e-01  13.596847  2.372342e-01  1.831268e-01  -7.372481
2.388813e-01  13.686892  2.386689e-01  1.853484e-01  -7.320111
2.404529e-01  13.776937  2.401007e-01  1.875790e-01  -7.268159
2.420245e-01  13.866982  2.415296e-01  1.898183e-01  -7.216620
2.435961e-01  13.957027  2.429556e-01  1.920663e-01  -7.165489
2.451677e-01  14.047072  2.443786e-01  1.943228e-01  -7.114763
2.467392e-01  14.137117  2.457987e-01  1.965877e-01  -7.064437
2.483108e-01  14.227162  2.472157e-01  1.988609e-01  -7.014506
2.498824e-01  14.317207  2.486297e-01  2.011423e-01  -6.964966
2.514540e-01  14.407252  2.500407e-01  2.034317e-01  -6.915813
2.530256e-01  14.497297  2.514486e-01  2.057291e-01  -6.867044
2.545971e-01  14.587342  2.528534e-01  2.080342e-01  -6.818653
2.561687e-01  14.677387  2.542550e-01  2.103470e-01  -6.770637
2.577403e-01  14.767432  2.556535e-01  2.126673e-01  -6.722993
2.593119e-01  14.857477  2.570488e-01  2.149950e-01  -6.675715
2.608835e-01  14.947522  2.584409e-01  2.173301e-01  -6.628802
2.624550e-01  15.037566  2.598298e-01  2.196722e-01  -6.582249
2.640266e-01  15.127611  2.612154e-01  2.220214e-01  -6.536052
2.655982e-01  15.217656  2.625977e-01  2.243774e-01  -6.490208
2.671698e-01  15.307701  2.639767e-01  2.267402e-01  -6.444714
2.687414e-01  15.397746  2.653524e-01  2.291096e-01  -6.399566
2.703130e-01  15.487791  2.667247e-01  2.314855e-01  -6.354762
2.718845e-01  15.577836  2.680937e-01  2.338677e-01  -6.310297
2.734561e-01  15.667881  2.694592e-01  2.362562e-01  -6.266168
2.750277e-01  15.757926  2.708212e-01  2.386507e-01  -6.222374
2.765993e-01  15.847971  2.721798e-01  2.410511e-01  -6.178909
2.781709e-01  15.938016  2.735349e-01  2.434573e-01  -6.135773
2.797424e-01  16.028061  2.748865e-01  2.458691e-01  -6.092960
2.813140e-01  16.118106  2.762345e-01  2.482864e-01  -6.050470
2.828856e-01  16.208151  2.775789e-01  2.507091e-01  -6.008298
2.844572e-01  16.298196  2.789197e-01  2.531371e-01  -5.966443
2.860288e-01  16.388241  2.802569e-01  2.555700e-01  -5.924901
2.876003e-01  16.478286  2.815904e-01  2.580079e-01  -5.883669
2.891719e-01  16.568331  2.829203e-01  2.604506e-01  -5.842746
2.907435e-01  16.658376  2.842464e-01  2.628980e-01  -5.802128
2.923151e-01  16.748421  2.855688e-01  2.653497e-01  -5.761813
2.938867e-01  16.838466  2.868874e-01  2.678059e-01  -5.721799
2.954583e-01  16.928511  2.882022e-01  2.702662e-01  -5.682083
2.970298e-01  17.018556  2.895131e-01  2.727305e-01  -5.642662
2.986014e-01  17.108601  2.908202e-01  2.751988e-01  -5.603535
3.001730e-01  17.198646  2.921235e-01  2.776707e-01  -5.564699
3.017446e-01  17.288691  2.934228e-01  2.801463e-01  -5.526152
3.033162e-01  17.378736  2.947181e-01  2.826252e-01  -5.487891
3.048877e-01  17.468781  2.960095e-01  2.851074e-01  -5.449915
3.064593e-01  17.558826  2.972969e-01  2.875928e-01  -5.412221
3.080309e-01  17.648870  2.985802e-01  2.900810e-01  -5.374807
3.096025e-01  17.738915  2.998595e-01  2.925721e-01  -5.337671
3.111741e-01  17.828960  3.011347e-01  2.950658e-01  -5.300811
3.127456e-01  17.919005  3.024058e-01  2.975620e-01  -5.264225
3.143172e-01  18.009050  3.036727e-01  3.000605e-01  -5.227912
3.158888e-01  18.099095  3.049355e-01  3.025611e-01  -5.191869
3.174604e-01  18.189140  3.061940e-01  3.050638e-01  -5.156094
3.190320e-01  18.279185  3.074483e-01  3.075682e-01  -5.120585
3.206035e-01  18.369230  3.086984e-01  3.100744e-01  -5.085341
3.221751e-01  18.459275  3.099441e-01  3.125820e-01  -5.050360
3.237467e-01  18.549320  3.111855e-01  3.150910e-01  -5.015640
3.253183e-01  18.639365  3.124226e-01  3.176011e-01  -4.981180
3.268899e-01  18.729410  3.136552e-01  3.201122e-01  -4.946977
3.284615e-01  18.819455  3.148835e-01  3.226242e-01  -4.913030
3.300330e-01  18.909500  3.161073e-01  3.251368e-01  -4.879338
3.316046e-01  18.999545  3.173266e-01  3.276500e-01  -4.845899
3.331762e-01  19.089590  3.185414e-01  3.301634e-01  -4.812710
3.347478e-01  19.179635  3.197516e-01  3.326770e-01  -4.779772
3.363194e-01  19.269680  3.209573e-01  3.351906e-01  -4.747082
3.378909e-01  19.359725  3.221584e-01  3.377040e-01  -4.714638
3.394625e-01  19.449770  3.233549e-01  3.402170e-01  -4.682440
3.410341e-01  19.539815  3.245466e-01  3.427295e-01  -4.650485
3.426057e-01  19.629860  3.257337e-01  3.452413e-01  -4.618773
3.441773e-01  19.719905  3.269161e-01  3.477522e-01  -4.587302
3.457488e-01  19.809950  3.280937e-01  3.502620e-01  -4.556070
3.473204e-01  19.899995  3.292665e-01  3.527705e-01  -4.525077
3.488920e-01  19.990040  3.304345e-01  3.552777e-01  -4.494321
3.504636e-01  20.080085  3.315976e-01  3.577832e-01  -4.463800
3.520352e-01  20.170129  3.327558e-01  3.602870e-01  -4.433514
3.536068e-01  20.260174  3.339091e-01  3.627888e-01  -4.403462
3.551783e-01  20.350219  3.350575e-01  3.652884e-01  -4.373641
3.567499e-01  20.440264  3.362009e-01  3.677858e-01  -4.344051
3.583215e-01  20.530309  3.373392e-01  3.702806e-01  -4.314691
3.598931e-01  20.620354  3.384725e-01  3.727727e-01  -4.285559
3.614647e-01  20.710399  3.396008e-01  3.752620e-01  -4.256655
3.630362e-01  20.800444  3.407239e-01  3.777482e-01  -4.227976
3.646078e-01  20.890489  3.418418e-01  3.802311e-01  -4.199524
3.661794e-01  20.980534  3.429546e-01  3.827106e-01  -4.171295
3.677510e-01  21.070579  3.440622e-01  3.851865e-01  -4.143289
3.693226e-01  21.160624  3.451645e-01  3.876586e-01  -4.115505
3.708941e-01  21.250669  3.462615e-01  3.901267e-01  -4.087943
3.724657e-01  21.340714  3.473532e-01  3.925907e-01  -4.060600
3.740373e-01  21.430759  3.484396e-01  3.950502e-01  -4.033477
3.756089e-01  21.520804  3.495206e-01  3.975052e-01  -4.006572
3.771805e-01  21.610849  3.505962e-01  3.999555e-01  -3.979884
3.787520e-01  21.700894  3.516663e-01  4.024008e-01  -3.953412
3.803236e-01  21.790939  3.527310e-01  4.048410e-01  -3.927156
3.818952e-01  21.880984  3.537901e-01  4.072758e-01  -3.901114
3.834668e-01  21.971029  3.548437e-01  4.097051e-01  -3.875286
3.850384e-01  22.061074  3.558917e-01  4.121288e-01  -3.849671
3.866100e-01  22.151119  3.569341e-01  4.145465e-01  -3.824268
3.881815e-01  22.241164  3.579708e-01  4.169581e-01  -3.799076
3.897531e-01  22.331209  3.590018e-01  4.193634e-01  -3.774094
3.913247e-01  22.421254  3.600271e-01  4.217623e-01  -3.749323
3.928963e-01  22.511299  3.610467e-01  4.241544e-01  -3.724760
3.944679e-01  22.601344  3.620605e-01  4.265397e-01  -3.700405
3.960394e-01  22.691389  3.630684e-01  4.289179e-01  -3.676258
3.976110e-01  22.781433  3.640705e-01  4.312888e-01  -3.652318
3.991826e-01  22.871478  3.650667e-01  4.336523e-01  -3.628583
4.007542e-01  22.961523  3.660569e-01  4.360081e-01  -3.605055
4.023258e-01  23.051568  3.670412e-01  4.383560e-01  -3.581730
4.038973e-01  23.141613  3.680195e-01  4.406958e-01  -3.558610
4.054689e-01  23.231658  3.689918e-01  4.430274e-01  -3.535694
4.070405e-01  23.321703  3.699579e-01  4.453505e-01  -3.512980
4.086121e-01  23.411748  3.709180e-01  4.476650e-01  -3.490469
4.101837e-01  23.501793  3.718720e-01  4.499706e-01  -3.468159
4.117553e-01  23.591838  3.728197e-01  4.522671e-01  -3.446050
4.133268e-01  23.681883  3.737612e-01  4.545543e-01  -3.424142
4.148984e-01  23.771928  3.746965e-01  4.568321e-01  -3.402434
4.164700e-01  23.861973  3.756255e-01  4.591002e-01  -3.380925
4.180416e-01  23.952018  3.765482e-01  4.613584e-01  -3.359616
4.196132e-01  24.042063  3.774645e-01  4.636065e-01  -3.338504
4.211847e-01  24.132108  3.783745e-01  4.658444e-01  -3.317591
4.227563e-01  24.222153  3.792780e-01  4.680718e-01  -3.296875
4.243279e-01  24.312198  3.801750e-01  4.702885e-01  -3.276357
4.258995e-01  24.402243  3.810655e-01  4.724943e-01  -3.256035
4.274711e-01  24.492288  3.819495e-01  4.746890e-01  -3.235909
4.290426e-01  24.582333  3.828269e-01  4.768724e-01  -3.215978
4.306142e-01  24.672378  3.836977e-01  4.790443e-01  -3.196243
4.321858e-01  24.762423  3.845619e-01  4.812045e-01  -3.176703
4.337574e-01  24.852468  3.854193e-01  4.833528e-01  -3.157358
4.353290e-01  24.942513  3.862701e-01  4.854889e-01  -3.138207
4.369006e-01  25.032558  3.871140e-01  4.876128e-01  -3.119249
4.384721e-01  25.122603  3.879512e-01  4.897241e-01  -3.100485
4.400437e-01  25.212648  3.887816e-01  4.918227e-01  -3.081914
4.416153e-01  25.302693  3.896050e-01  4.939084e-01  -3.063536
4.431869e-01  25.392737  3.904216e-01  4.959809e-01  -3.045350
4.447585e-01  25.482782  3.912312e-01  4.980401e-01  -3.027357
4.463300e-01  25.572827  3.920339e-01  5.000857e-01  -3.009556
4.479016e-01  25.662872  3.928295e-01  5.021176e-01  -2.991946
4.494732e-01  25.752917  3.936181e-01  5.041355e-01  -2.974527
4.510448e-01  25.842962  3.943995e-01  5.061393e-01  -2.957300
4.526164e-01  25.933007  3.951739e-01  5.081286e-01  -2.940263
4.541879e-01  26.023052  3.959410e-01  5.101034e-01  -2.923417
4.557595e-01  26.113097  3.967010e-01  5.120635e-01  -2.906762
4.573311e-01  26.203142  3.974537e-01  5.140085e-01  -2.890297
4.589027e-01  26.293187  3.981991e-01  5.159384e-01  -2.874022
4.604743e-01  26.383232  3.989372e-01  5.178529e-01  -2.857936
4.620458e-01  26.473277  3.996680e-01  5.197517e-01  -2.842041
4.636174e-01  26.563322  4.003913e-01  5.216348e-01  -2.826334
4.651890e-01  26.653367  4.011072e-01  5.235019e-01  -2.810818
4.667606e-01  26.743412  4.018157e-01  5.253527e-01  -2.795490
4.683322e-01  26.833457  4.025166e-01  5.271872e-01  -2.780352
4.699038e-01  26.923502  4.032100e-01  5.290050e-01  -2.765402
4.714753e-01  27.013547  4.038958e-01  5.308060e-01  -2.750641
4.730469e-01  27.103592  4.045739e-01  5.325900e-01  -2.736070
4.746185e-01  27.193637  4.052444e-01  5.343568e-01  -2.721686
4.761901e-01  27.283682  4.059072e-01  5.361062e-01  -2.707492
4.777617e-01  27.373727  4.065623e-01  5.378379e-01  -2.693486
4.793332e-01  27.463772  4.072096e-01  5.395518e-01  -2.679668
4.809048e-01  27.553817  4.078490e-01  5.412477e-01  -2.666039
4.824764e-01  27.643862  4.084806e-01  5.429254e-01  -2.652598
4.840480e-01  27.733907  4.091043e-01  5.445846e-01  -2.639346
4.856196e-01  27.823952  4.097201e-01  5.462253e-01  -2.626282
4.871911e-01  27.913997  4.103279e-01  5.478470e-01  -2.613407
